Id,AccountId,FirstName,LastName,Email,Phone,MobilePhone,Title,Department,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,LeadSource,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00300010021,00100010006,Jenna,Mason,jenna.mason@tucker-lewis.biz,366.232.7904x2338,(608)791-7005x2291,Senior Buyer,Operations,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,Web,0050006,2023-07-03 17:21:13,2024-04-27 17:21:13,False
00300010022,00100010007,Stephen,Roberson,stephen.roberson@miller.com,001-849-365-9905x27025,943-958-3040,VP Sales,Marketing,7468 Moore Hill Apt. 098,Lake Leeton,OR,62994,USA,Event,0050008,2026-02-09 17:21:13,2026-04-23 17:21:13,False
00300010023,00100010007,Jessica,Harmon,jessica.harmon@miller.com,(913)606-1092x216,937-614-7320x43192,Director Finance,IT,7468 Moore Hill Apt. 098,Lake Leeton,OR,62994,USA,Trade Show,0050008,2025-11-21 17:21:13,2026-04-29 17:21:13,False
00300010024,00100010008,John,Miller,john.miller@bass-warner.org,(266)856-0233x61655,001-924-275-5526x72036,VP Operations,IT,6247 Hickman Cliffs,South Christineshire,CT,10103,USA,Purchased List,0050013,2025-01-17 17:21:13,2026-01-10 17:21:13,False
00300010025,00100010008,Douglas,Ramsey,douglas.ramsey@bass-warner.org,200-756-8706,511.721.8167x932,VP Sales,HR,6247 Hickman Cliffs,South Christineshire,CT,10103,USA,Event,0050013,2025-01-19 17:21:13,2025-08-08 17:21:13,False
00300010026,00100010008,Lauren,Lopez,lauren.lopez@bass-warner.org,330.854.8495,470-879-4321x83024,Director Finance,Executive,6247 Hickman Cliffs,South Christineshire,CT,10103,USA,Phone Inquiry,0050013,2024-09-05 17:21:13,2025-07-07 17:21:13,False
00300010027,00100010009,Frances,Gutierrez,frances.gutierrez@jones.com,255.719.0204x11548,509-833-4653,Director IT,Sales,41182 Campbell Fords,Jamesview,NY,64533,USA,Partner Referral,0050008,2023-01-15 17:21:13,2023-06-23 17:21:13,False
00300010028,00100010009,James,Young,james.young@jones.com,575-943-7009x84164,402.517.0470x125,Director IT,Procurement,41182 Campbell Fords,Jamesview,NY,64533,USA,Phone Inquiry,0050008,2023-05-17 17:21:13,2023-11-26 17:21:13,False
00300010029,00100010009,Michelle,Knapp,michelle.knapp@jones.com,+1-997-717-8568x1769,3592173930,Senior Buyer,HR,41182 Campbell Fords,Jamesview,NY,64533,USA,Web,0050008,2023-06-07 17:21:13,2023-11-23 17:21:13,False
00300010030,00100010010,Gina,Griffith,gina.griffith@hoover-savage.com,001-516-898-3317,770-589-4406x5452,Director IT,Procurement,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,Purchased List,0050005,2025-10-02 17:21:13,2026-09-11 17:21:13,False
00300010031,00100010010,Sarah,Richardson,sarah.richardson@hoover-savage.com,2769509462,+1-856-222-7192,Manager Procurement,HR,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,Purchased List,0050005,2026-02-26 17:21:13,2027-02-12 17:21:13,False
00300010032,00100010010,Kathleen,Spence,kathleen.spence@hoover-savage.com,+1-261-318-6801x0936,001-549-408-1700,CEO,Finance,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,Trade Show,0050005,2026-01-12 17:21:13,2026-03-01 17:21:13,False
00300010033,00100010011,Victor,Sullivan,victor.sullivan@williams-graham.net,(280)358-7777,897-626-8211x956,CFO,Sales,1458 Frazier Ville Suite 014,New Sydney,KS,05515,USA,Purchased List,0050005,2025-02-24 17:21:13,2026-02-03 17:21:13,False
00300010034,00100010011,Ryan,Maynard,ryan.maynard@williams-graham.net,735.395.6919x220,456.739.7489,Director Finance,Procurement,1458 Frazier Ville Suite 014,New Sydney,KS,05515,USA,Web,0050005,2024-12-29 17:21:13,2025-09-16 17:21:13,False
00300010035,00100010011,Brady,Crawford,brady.crawford@williams-graham.net,367-448-6735,001-717-674-8747x7935,VP Sales,Finance,1458 Frazier Ville Suite 014,New Sydney,KS,05515,USA,Purchased List,0050005,2024-12-13 17:21:13,2024-12-23 17:21:13,False
00300010036,00100010012,Javier,Young,javier.young@clark-floyd.org,(299)897-1252x0193,569-512-6719x196,Director IT,HR,6159 Alvarado Crossing,Williamchester,MD,53244,USA,Event,0050015,2022-02-18 17:21:13,2022-07-27 17:21:13,False
00300010037,00100010012,Mike,Gregory,mike.gregory@clark-floyd.org,813.487.8305,975.633.5526x20294,Manager Procurement,Marketing,6159 Alvarado Crossing,Williamchester,MD,53244,USA,Trade Show,0050015,2022-01-03 17:21:13,2022-04-23 17:21:13,False
00300010038,00100010012,Timothy,Martinez,timothy.martinez@clark-floyd.org,(382)969-9345,992.822.9317,VP Marketing,HR,6159 Alvarado Crossing,Williamchester,MD,53244,USA,Phone Inquiry,0050015,2022-02-13 17:21:13,2022-10-20 17:21:13,False
00300010039,00100010013,Matthew,Cantu,matthew.cantu@holmes.com,994.975.0557,001-591-374-3124x34535,VP Marketing,Marketing,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,Purchased List,0050009,2023-08-06 17:21:13,2023-11-30 17:21:13,False
00300010040,00100010013,Casey,Rivera,casey.rivera@holmes.com,(809)727-2094x803,856.929.4339x168,Manager Procurement,IT,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,Partner Referral,0050009,2023-07-23 17:21:13,2023-10-11 17:21:13,False
00300010041,00100010013,Tiffany,Drake,tiffany.drake@holmes.com,+1-655-606-9439,601-504-2797,Director IT,Procurement,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,Event,0050009,2023-07-07 17:21:13,2023-12-06 17:21:13,False
00300010042,00100010013,Michael,Skinner,michael.skinner@holmes.com,(810)318-1889,629.335.7538,CTO,Operations,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,Trade Show,0050009,2023-07-13 17:21:13,2024-03-29 17:21:13,False
00300010043,00100010014,Craig,Nguyen,craig.nguyen@hall.com,403.647.5601x6426,454-562-0213x54692,Director IT,Finance,9868 Merritt Summit Suite 743,Katiehaven,NM,82650,USA,Event,0050004,2023-09-04 17:21:13,2024-05-31 17:21:13,False
00300010044,00100010014,Ashley,Smith,ashley.smith@hall.com,773-643-4660,300.860.3981x0795,Director Finance,Executive,9868 Merritt Summit Suite 743,Katiehaven,NM,82650,USA,Purchased List,0050004,2023-04-28 17:21:13,2024-04-01 17:21:13,False
00300010045,00100010015,James,Anderson,james.anderson@hooper.com,812-202-2417x561,+1-856-841-8541x333,CEO,Finance,0366 Melissa Track Suite 705,Karenchester,ND,98479,USA,Purchased List,0050013,2024-06-28 17:21:13,2025-05-11 17:21:13,False
00300010046,00100010015,Michael,Lara,michael.lara@hooper.com,(385)991-5658,+1-491-457-8290x5249,Director Finance,Procurement,0366 Melissa Track Suite 705,Karenchester,ND,98479,USA,Purchased List,0050013,2024-05-06 17:21:13,2025-03-08 17:21:13,False
00300010047,00100010015,Christopher,Richards,christopher.richards@hooper.com,314-629-9948,540-313-8569,Senior Buyer,Marketing,0366 Melissa Track Suite 705,Karenchester,ND,98479,USA,Web,0050013,2024-07-08 17:21:13,2024-09-25 17:21:13,False
00300010048,00100010016,Justin,Jackson,justin.jackson@combs.com,620-612-0174x02098,(998)488-6659x48182,CFO,Sales,627 Brent Light,Jasonmouth,MA,50193,USA,Web,0050012,2021-09-02 17:21:13,2021-12-04 17:21:13,False
00300010049,00100010016,Sheila,Greene,sheila.greene@combs.com,367.759.1644,721.480.1130,CTO,HR,627 Brent Light,Jasonmouth,MA,50193,USA,Event,0050012,2022-01-16 17:21:13,2022-12-02 17:21:13,False
00300010050,00100010016,Jeff,Howard,jeff.howard@combs.com,+1-423-642-8402,(526)871-3202x5342,VP Operations,Marketing,627 Brent Light,Jasonmouth,MA,50193,USA,Trade Show,0050012,2021-09-03 17:21:13,2022-04-16 17:21:13,False
00300010051,00100010017,Scott,Williams,scott.williams@burke.com,876.904.2939x876,208-577-2107x5240,Senior Buyer,Procurement,374 Jackson Rest,Port Loriport,CT,76350,USA,Purchased List,0050013,2021-12-06 17:21:13,2022-07-05 17:21:13,False
00300010052,00100010017,Marissa,Hale,marissa.hale@burke.com,(810)797-2472x542,716-489-3927x6398,Director IT,Executive,374 Jackson Rest,Port Loriport,CT,76350,USA,Web,0050013,2022-02-26 17:21:13,2023-02-08 17:21:13,False
00300010053,00100010017,Jeffrey,Sandoval,jeffrey.sandoval@burke.com,+1-828-293-6327,504.323.5731x8995,Director IT,Finance,374 Jackson Rest,Port Loriport,CT,76350,USA,Purchased List,0050013,2022-01-24 17:21:13,2022-09-09 17:21:13,False
00300010054,00100010017,Lori,Swanson,lori.swanson@burke.com,+1-299-921-3534x70507,750.988.4949x9963,Manager Procurement,Procurement,374 Jackson Rest,Port Loriport,CT,76350,USA,Phone Inquiry,0050013,2022-04-30 17:21:13,2022-09-23 17:21:13,False
00300010055,00100010018,Nicholas,Butler,nicholas.butler@bishop.com,(721)638-0595x19484,001-322-759-5513x3059,VP Operations,Finance,506 Garcia Lake,Zimmermanchester,HI,96681,USA,Purchased List,0050001,2024-03-21 17:21:13,2024-07-19 17:21:13,False
00300010056,00100010018,Kelly,Perkins,kelly.perkins@bishop.com,751.310.9674,+1-936-436-5905x04173,VP Sales,IT,506 Garcia Lake,Zimmermanchester,HI,96681,USA,Phone Inquiry,0050001,2024-04-12 17:21:13,2024-08-13 17:21:13,False
00300010057,00100010018,Donald,Green,donald.green@bishop.com,(378)570-3238x12817,(547)952-1127x596,VP Operations,HR,506 Garcia Lake,Zimmermanchester,HI,96681,USA,Event,0050001,2024-02-15 17:21:13,2024-10-13 17:21:13,False
00300010058,00100010019,Patricia,Robinson,patricia.robinson@pierce.com,849-433-1088,306.259.4003,VP Marketing,Finance,4948 Zachary Field Apt. 367,Lake Thomas,VT,64833,USA,Web,0050009,2025-01-28 17:21:13,2025-08-05 17:21:13,False
00300010059,00100010019,John,Butler,john.butler@pierce.com,+1-651-300-2182,001-840-981-7028x461,Senior Buyer,Sales,4948 Zachary Field Apt. 367,Lake Thomas,VT,64833,USA,Event,0050009,2025-06-01 17:21:13,2026-03-21 17:21:13,False
00300010060,00100010020,Amanda,May,amanda.may@mitchell.com,+1-632-514-9997x0320,+1-347-243-3442x1065,Senior Buyer,HR,82337 Hardy Trace Suite 134,West Harry,AL,93302,USA,Web,0050003,2021-11-03 17:21:13,2022-06-28 17:21:13,False
00300010061,00100010020,Linda,Phillips,linda.phillips@mitchell.com,(601)404-1313x5557,4723239567,VP Marketing,Sales,82337 Hardy Trace Suite 134,West Harry,AL,93302,USA,Event,0050003,2021-09-24 17:21:13,2022-04-08 17:21:13,False
00300010062,00100010020,Tracy,Norton,tracy.norton@mitchell.com,989-889-8787,375.513.8771x2398,VP Sales,Marketing,82337 Hardy Trace Suite 134,West Harry,AL,93302,USA,Web,0050003,2021-11-19 17:21:13,2022-08-17 17:21:13,False
00300010063,00100010021,Christina,Day,christina.day@garrett.com,(304)687-3045,858-668-1734x18807,VP Operations,Operations,7190 Edward Port,Christopherbury,DE,73648,USA,Event,0050001,2025-07-14 17:21:13,2025-10-05 17:21:13,False
00300010064,00100010021,Jessica,Williams,jessica.williams@garrett.com,+1-515-875-8593x9185,001-720-654-4933x9271,Director Finance,IT,7190 Edward Port,Christopherbury,DE,73648,USA,Purchased List,0050001,2025-05-19 17:21:13,2026-03-25 17:21:13,False
00300010065,00100010021,Anthony,Jenkins,anthony.jenkins@garrett.com,456.270.2071x53784,+1-955-955-3544x07896,CTO,Operations,7190 Edward Port,Christopherbury,DE,73648,USA,Trade Show,0050001,2025-05-03 17:21:13,2025-09-09 17:21:13,False
00300010066,00100010021,Holly,Gordon,holly.gordon@garrett.com,689.922.1007x20409,001-211-624-6175x78041,CFO,Finance,7190 Edward Port,Christopherbury,DE,73648,USA,Partner Referral,0050001,2025-04-11 17:21:13,2026-03-06 17:21:13,False
00300010067,00100010021,Andrea,Ortiz,andrea.ortiz@garrett.com,686-944-2624,3499867110,VP Operations,HR,7190 Edward Port,Christopherbury,DE,73648,USA,Web,0050001,2025-07-30 17:21:13,2026-02-06 17:21:13,False
00300010068,00100010022,Steven,Smith,steven.smith@brown.org,925.570.4430,(246)568-9974,VP Operations,Sales,06797 Johnson Heights,Jacquelinemouth,CA,90597,USA,Phone Inquiry,0050004,2024-01-26 17:21:13,2024-03-19 17:21:13,False
00300010069,00100010023,Danielle,Brown,danielle.brown@graham.info,481.677.9989,(892)647-0481x1301,Senior Buyer,Executive,464 Kim Rapid Apt. 659,Anthonybury,TX,75893,USA,Event,0050002,2024-02-29 17:21:13,2024-05-03 17:21:13,False
00300010070,00100010024,John,Wright,john.wright@harris.com,956-251-8127x591,8349374325,Director Finance,Procurement,56746 Shawn Island,Marcusfurt,VI,67950,USA,Event,0050003,2022-08-17 17:21:13,2022-09-29 17:21:13,False
00300010071,00100010024,Kenneth,Compton,kenneth.compton@harris.com,001-653-362-5123x115,+1-511-290-2060x7136,Manager Procurement,Marketing,56746 Shawn Island,Marcusfurt,VI,67950,USA,Partner Referral,0050003,2022-07-17 17:21:13,2022-12-04 17:21:13,False
00300010072,00100010025,Kristen,Ward,kristen.ward@romero.com,(721)544-2673,+1-742-656-1161,VP Sales,Finance,93248 Andrea Course,Port Robin,NH,15897,USA,Web,0050007,2021-08-09 17:21:13,2022-04-29 17:21:13,False
00300010073,00100010025,Joseph,Thomas,joseph.thomas@romero.com,001-418-745-5375x826,5814499402,CEO,IT,93248 Andrea Course,Port Robin,NH,15897,USA,Phone Inquiry,0050007,2021-05-23 17:21:13,2022-01-02 17:21:13,False
00300010074,00100010026,James,Peters,james.peters@shaw.com,001-235-780-3528,5757078197,CFO,Marketing,44997 Sean Orchard Suite 588,Gibsonmouth,VI,25228,USA,Purchased List,0050011,2021-10-14 17:21:13,2022-02-05 17:21:13,False
00300010075,00100010026,Jonathon,Tyler,jonathon.tyler@shaw.com,825-624-7777x4449,001-230-846-4006,CEO,Sales,44997 Sean Orchard Suite 588,Gibsonmouth,VI,25228,USA,Phone Inquiry,0050011,2022-01-14 17:21:13,2022-07-12 17:21:13,False
00300010076,00100010026,Ashley,Russo,ashley.russo@shaw.com,(564)986-2755,293.685.4609x121,VP Operations,Operations,44997 Sean Orchard Suite 588,Gibsonmouth,VI,25228,USA,Partner Referral,0050011,2021-09-27 17:21:13,2022-04-28 17:21:13,False
00300010077,00100010027,Andrew,Moore,andrew.moore@francis.com,(545)439-6016x099,+1-547-307-9262x5174,CFO,Sales,702 Pitts Drives,South Kimberlyview,MA,82192,USA,Trade Show,0050007,2022-11-04 17:21:13,2023-05-26 17:21:13,False
00300010078,00100010027,Gina,Ayala,gina.ayala@francis.com,625.603.9439,(978)695-2361,CEO,HR,702 Pitts Drives,South Kimberlyview,MA,82192,USA,Event,0050007,2023-02-27 17:21:13,2023-09-07 17:21:13,False
00300010079,00100010027,Ashley,Swanson,ashley.swanson@francis.com,649-459-5781x27317,818.432.2402x393,VP Marketing,HR,702 Pitts Drives,South Kimberlyview,MA,82192,USA,Partner Referral,0050007,2022-12-21 17:21:13,2023-07-07 17:21:13,False
00300010080,00100010028,Thomas,Garcia,thomas.garcia@landry-huerta.com,(540)340-4655x11286,205-902-2892,VP Marketing,IT,05045 Jordan Gardens Suite 922,North Chelsea,MS,81727,USA,Partner Referral,0050012,2023-09-30 17:21:13,2024-04-09 17:21:13,False
00300010081,00100010028,Kimberly,Carter,kimberly.carter@landry-huerta.com,+1-559-552-8276x7742,343-737-3278x39692,VP Operations,HR,05045 Jordan Gardens Suite 922,North Chelsea,MS,81727,USA,Phone Inquiry,0050012,2023-11-06 17:21:13,2023-11-21 17:21:13,False
00300010082,00100010028,David,Smith,david.smith@landry-huerta.com,(707)572-1434x8696,515.357.3105x2089,VP Sales,HR,05045 Jordan Gardens Suite 922,North Chelsea,MS,81727,USA,Partner Referral,0050012,2023-11-30 17:21:13,2024-01-20 17:21:13,False
00300010083,00100010029,Angela,Walker,angela.walker@riley.com,+1-995-507-9337x73129,414-885-0275x908,CEO,Executive,67136 Andrews Squares Suite 064,New Michelleton,PW,79983,USA,Purchased List,0050003,2023-03-05 17:21:13,2023-08-24 17:21:13,False
00300010084,00100010029,Amy,Smith,amy.smith@riley.com,+1-607-722-0871x218,(539)359-6023,Senior Buyer,Procurement,67136 Andrews Squares Suite 064,New Michelleton,PW,79983,USA,Event,0050003,2022-10-27 17:21:13,2023-01-06 17:21:13,False
00300010085,00100010029,Lisa,Cochran,lisa.cochran@riley.com,001-298-275-1757x90323,(909)841-7502x41300,Director IT,Executive,67136 Andrews Squares Suite 064,New Michelleton,PW,79983,USA,Web,0050003,2022-09-29 17:21:13,2023-02-23 17:21:13,False
00300010086,00100010030,Tristan,Bailey,tristan.bailey@leonard.com,001-775-258-5095x914,897-723-6694x6272,VP Marketing,Sales,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,Web,0050008,2021-06-29 17:21:13,2022-06-21 17:21:13,False
00300010087,00100010030,Dan,Pruitt,dan.pruitt@leonard.com,920-843-8450x4621,234-993-9416x674,Director IT,Procurement,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,Phone Inquiry,0050008,2021-04-05 17:21:13,2022-04-02 17:21:13,False
00300010088,00100010030,Angela,Shelton,angela.shelton@leonard.com,+1-869-985-8574x91106,+1-726-541-8793x9789,CEO,Marketing,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,Event,0050008,2021-06-29 17:21:13,2022-02-14 17:21:13,False
00300010089,00100010030,Shawn,Williams,shawn.williams@leonard.com,(449)631-6459,978.504.7040,Director IT,Executive,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,Phone Inquiry,0050008,2021-08-05 17:21:13,2021-08-08 17:21:13,False
00300010090,00100010030,Paul,Jones,paul.jones@leonard.com,775.969.2692x03273,225-267-2123,Director Finance,IT,32858 Rivas Glens Suite 451,Mccartyberg,WV,30072,USA,Web,0050008,2021-03-21 17:21:13,2021-03-31 17:21:13,False
00300010091,00100010031,Angela,Peterson,angela.peterson@gilbert-crosby.com,+1-289-259-1532x42566,001-280-557-8369,VP Sales,Sales,174 Wilson Cape,West Wendyville,CT,31276,USA,Purchased List,0050014,2022-07-11 17:21:13,2022-10-30 17:21:13,False
00300010092,00100010032,Anthony,Winters,anthony.winters@huerta.com,613-965-3298x568,001-570-570-6007x4614,Director IT,IT,3515 Brown Harbor Apt. 171,Lake Danielle,AK,07130,USA,Phone Inquiry,0050004,2022-09-06 17:21:13,2023-06-14 17:21:13,False
00300010093,00100010032,Monica,Johnson,monica.johnson@huerta.com,9493174436,+1-663-787-6215x77405,VP Marketing,Procurement,3515 Brown Harbor Apt. 171,Lake Danielle,AK,07130,USA,Web,0050004,2023-01-01 17:21:13,2023-09-29 17:21:13,False
00300010094,00100010032,Martha,Kim,martha.kim@huerta.com,482-948-7414,453.314.1988x72634,CFO,Procurement,3515 Brown Harbor Apt. 171,Lake Danielle,AK,07130,USA,Partner Referral,0050004,2022-11-15 17:21:13,2023-01-11 17:21:13,False
00300010095,00100010032,Cynthia,Taylor,cynthia.taylor@huerta.com,001-339-598-2159x007,(904)348-4567,CFO,Procurement,3515 Brown Harbor Apt. 171,Lake Danielle,AK,07130,USA,Web,0050004,2022-10-11 17:21:13,2023-02-10 17:21:13,False
00300010096,00100010033,Michael,Carey,michael.carey@simmons-rodriguez.info,317-366-0456x893,(645)976-7765x7666,Director IT,Sales,53950 Joseph Crossroad,Foxland,NJ,59257,USA,Partner Referral,0050003,2022-01-28 17:21:13,2022-04-01 17:21:13,False
00300010097,00100010033,Teresa,Williams,teresa.williams@simmons-rodriguez.info,(320)985-2964x552,(904)499-8878x298,CFO,Marketing,53950 Joseph Crossroad,Foxland,NJ,59257,USA,Trade Show,0050003,2021-11-24 17:21:13,2022-03-27 17:21:13,False
00300010098,00100010034,Taylor,Evans,taylor.evans@davis.com,922-506-1850x692,+1-286-540-0672x4663,VP Marketing,Sales,24998 James Ranch,Shawnchester,CT,92484,USA,Purchased List,0050014,2025-11-07 17:21:13,2026-10-01 17:21:13,False
00300010099,00100010034,Francis,Delacruz,francis.delacruz@davis.com,330-331-8393x301,440.665.4885x58755,CTO,Procurement,24998 James Ranch,Shawnchester,CT,92484,USA,Event,0050014,2025-12-29 17:21:13,2026-08-21 17:21:13,False
00300010100,00100010034,Michael,Hudson,michael.hudson@davis.com,751-943-6974,001-583-751-7983x871,Director Finance,Marketing,24998 James Ranch,Shawnchester,CT,92484,USA,Trade Show,0050014,2025-08-08 17:21:13,2025-10-04 17:21:13,False
00300010101,00100010034,Michael,Sanders,michael.sanders@davis.com,(496)733-8958x64178,+1-960-819-9916x24694,CFO,Executive,24998 James Ranch,Shawnchester,CT,92484,USA,Event,0050014,2025-11-27 17:21:13,2026-09-29 17:21:13,False
00300010102,00100010035,Jane,Jackson,jane.jackson@richardson.biz,968.942.6851,967.399.0102,VP Operations,Marketing,11615 Angela Radial,Elizabethchester,MI,87708,USA,Phone Inquiry,0050002,2024-11-29 17:21:13,2024-12-08 17:21:13,False
00300010103,00100010035,Catherine,Brown,catherine.brown@richardson.biz,+1-352-203-8721x215,+1-745-862-4462x2016,Director IT,Executive,11615 Angela Radial,Elizabethchester,MI,87708,USA,Partner Referral,0050002,2024-12-23 17:21:13,2025-09-13 17:21:13,False
00300010104,00100010036,Ricky,Chen,ricky.chen@moore-collins.com,493.850.8243,(953)781-4030,Director IT,Finance,402 Park Inlet,Michaelburgh,VI,19277,USA,Partner Referral,0050016,2025-10-08 17:21:13,2026-02-09 17:21:13,False
00300010105,00100010036,Lawrence,Wyatt,lawrence.wyatt@moore-collins.com,001-984-614-2024x84350,(209)433-2809x997,VP Sales,Finance,402 Park Inlet,Michaelburgh,VI,19277,USA,Event,0050016,2025-06-19 17:21:13,2025-11-16 17:21:13,False
