Id,FirstName,LastName,Company,Title,Email,Phone,Street,City,State,PostalCode,Country,Industry,LeadSource,Status,Rating,NumberOfEmployees,AnnualRevenue,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,CreatedDate,LastModifiedDate,IsDeleted
00Q00010012,Mariah,Clarke,Mason-Lopez,VP,mariah.clarke@day-watson.biz,534-668-2072x5104,456 Smith Shoals Apt. 427,Christineside,MT,12384,USA,Telecommunications,Web,Open - Not Contacted,Cold,22,123238.53,0050011,False,,,,,2025-10-02 17:21:13,2026-03-27 17:21:13,False
00Q00010013,John,Walker,Johnson-Hoffman,Director,john.walker@green.com,550-867-3632x420,1482 Casey Meadow Suite 762,Sandrafort,WA,65442,USA,Energy,Phone Inquiry,Open - Not Contacted,Cold,43,29451237.33,0050015,False,,,,,2024-12-24 17:21:13,2025-01-16 17:21:13,False
00Q00010014,Sean,Gonzalez,"Hess, Keller and Mueller",Senior Manager,sean.gonzalez@gutierrez.info,665-671-9328,278 Lambert Wells,Robertsonland,PW,62276,USA,Retail,Trade Show,Closed - Converted,Warm,502,10613275.35,0050019,True,2025-07-12,00100010817,00300010635,00600011825,2025-05-07 17:21:13,2025-05-19 17:21:13,False
00Q00010015,Joshua,Martin,Vazquez-Spencer,Manager,joshua.martin@hutchinson.com,898-720-2250x7895,516 Wilkins Flat,Dorothystad,MD,34429,USA,Energy,Trade Show,Working - Contacted,Cold,3,1109663.89,0050001,False,,,,,2025-09-02 17:21:13,2026-01-14 17:21:13,False
00Q00010016,James,Frazier,Jones-Webster,VP,james.frazier@white-rice.com,001-501-346-8212x43209,88022 Kristina Pass Suite 922,East Elizabeth,AZ,33103,USA,Telecommunications,Purchased List,Working - Contacted,Warm,14,1437471.74,0050013,False,,,,,2024-11-21 17:21:13,2025-02-09 17:21:13,False
00Q00010017,Tammy,Yang,"Miller, Mcbride and Moore",Director,tammy.yang@kline.biz,661.464.7295x3938,0088 Cohen Ridge Apt. 742,South Michaelmouth,MS,94805,USA,Energy,Social Media,Closed - Converted,Warm,1470,842108.23,0050013,True,2026-01-01,00100010113,00300012902,00600011566,2025-10-13 17:21:13,2026-01-01 17:21:13,False
00Q00010018,Kathleen,Bullock,Zimmerman Ltd,Analyst,kathleen.bullock@villegas.com,8624130996,063 Gill Squares,North Elizabethbury,MO,31168,USA,Retail,Partner Referral,Working - Contacted,Hot,140,5193.13,0050016,False,,,,,2024-12-01 17:21:13,2025-01-24 17:21:13,False
00Q00010019,Kimberly,Moore,"Brennan, Alvarez and Jenkins",Senior Manager,kimberly.moore@lindsey.org,790.571.3297,7361 Nathaniel Ways,New Lindaview,AR,50174,USA,Healthcare,Web,Open - Not Contacted,Cold,9,493386.05,0050006,False,,,,,2025-05-13 17:21:13,2025-07-04 17:21:13,False
00Q00010020,Abigail,Torres,Davis-Hawkins,Director,abigail.torres@spencer.net,(712)499-0650x015,0956 Michael Path Apt. 499,Raymondchester,IL,63519,USA,Telecommunications,Purchased List,Closed - Converted,Warm,5,30750.43,0050012,True,2025-08-30,00100010947,00300010066,00600011179,2025-07-18 17:21:13,2025-09-27 17:21:13,False
00Q00010021,Glen,Hall,"Williams, Morris and Woodward",Director,glen.hall@johnson.biz,(607)583-4348x383,71258 Schwartz Ville,Jessicaland,WI,92633,USA,Financial Services,Partner Referral,Closed - Not Converted,Warm,2,1596473.41,0050019,False,,,,,2025-01-25 17:21:13,2025-04-17 17:21:13,False
00Q00010022,Stacy,Freeman,Mayo-Noble,VP,stacy.freeman@martinez.net,(581)408-8438,321 Denise Ports,Port Andrewmouth,MN,24962,USA,Technology,Trade Show,Working - Contacted,Cold,2,1449512.31,0050015,False,,,,,2025-03-13 17:21:13,2025-09-01 17:21:13,False
00Q00010023,Heather,Olson,"Walton, Hooper and Rice",Manager,heather.olson@novak-wagner.com,001-458-896-8594x217,213 Lynch Extension,Lake Katie,DE,01616,USA,Financial Services,Partner Referral,Closed - Converted,Warm,182,372195.99,0050011,True,2025-10-05,00100010477,00300010858,00600011872,2025-08-25 17:21:13,2025-10-03 17:21:13,False
00Q00010024,Steve,Wagner,Kim-Munoz,Analyst,steve.wagner@james-garcia.info,001-918-623-2738x827,97317 Smith Mills,Rubenport,OK,89236,USA,Retail,Trade Show,Working - Contacted,Cold,1149,319364.58,0050003,False,,,,,2025-08-05 17:21:13,2025-10-15 17:21:13,False
00Q00010025,Benjamin,Leonard,Gardner-Richardson,VP,benjamin.leonard@wilson.org,343-254-0062x1748,76045 Kelly Creek Suite 385,Wrightchester,WV,70504,USA,Energy,Partner Referral,Closed - Converted,Cold,14,805209.39,0050012,True,2025-09-04,00100010298,00300010286,00600011908,2025-08-27 17:21:13,2026-02-03 17:21:13,False
00Q00010026,Kathryn,Stevens,Arnold LLC,Senior Manager,kathryn.stevens@baird.com,+1-837-783-8526x35325,173 Brittany Club,East Mariachester,ND,89324,USA,Technology,Social Media,Closed - Converted,Warm,56,27224.56,0050014,True,2025-03-24,00100010728,00300010462,00600010027,2025-01-11 17:21:13,2025-02-07 17:21:13,False
00Q00010027,Monique,Williams,Gutierrez Inc,Manager,monique.williams@peterson-meyers.biz,3265761518,04347 Price River,Port Jasonchester,AS,25867,USA,Manufacturing,Social Media,Closed - Not Converted,Warm,88,983197.69,0050019,False,,,,,2025-07-11 17:21:13,2025-11-27 17:21:13,False
00Q00010028,William,Davis,"Guerrero, Weaver and Nixon",Manager,william.davis@li-herrera.org,(648)698-5457,388 Eileen Falls Suite 444,New Robertland,MH,79598,USA,Manufacturing,Phone Inquiry,Open - Not Contacted,Warm,49,1806369.06,0050018,False,,,,,2025-04-28 17:21:13,2025-09-16 17:21:13,False
00Q00010029,Timothy,Pacheco,"Clay, Hutchinson and Richardson",Manager,timothy.pacheco@mckee.info,+1-642-604-9090x959,0565 Frazier Trafficway Apt. 971,Davisberg,IN,97156,USA,Healthcare,Partner Referral,Working - Contacted,Cold,1001,51728647.3,0050008,False,,,,,2025-05-14 17:21:13,2025-07-23 17:21:13,False
00Q00010030,David,Santiago,Vasquez Inc,Manager,david.santiago@kemp.net,502.626.8540x2772,262 Anna Rapid,West Sarah,SD,62890,USA,Healthcare,Web,Closed - Not Converted,Cold,0,1193350.48,0050019,False,,,,,2025-08-13 17:21:13,2025-10-25 17:21:13,False
00Q00010031,Travis,Henderson,Nunez-Spencer,Analyst,travis.henderson@may-valencia.com,889-654-9671x60890,42213 Regina Island Suite 090,East Katherine,AL,59680,USA,Telecommunications,Trade Show,Working - Contacted,Warm,208,961016.75,0050012,False,,,,,2025-01-04 17:21:13,2025-03-08 17:21:13,False
00Q00010032,Shelby,Yang,Marsh Ltd,VP,shelby.yang@rodriguez.biz,5408899753,896 Steele Estates Apt. 490,South Madelineborough,MS,29232,USA,Healthcare,Social Media,Working - Contacted,Cold,35,19423410.25,0050018,False,,,,,2025-07-29 17:21:13,2025-08-17 17:21:13,False
00Q00010033,Matthew,Mejia,Williams-Brown,Senior Manager,matthew.mejia@russell.com,+1-682-638-2664x62129,78490 Jill River Suite 591,Blankenshipland,WV,17210,USA,Energy,Employee Referral,Open - Not Contacted,Warm,7,167250.98,0050015,False,,,,,2025-05-18 17:21:13,2025-10-22 17:21:13,False
00Q00010034,Victoria,Evans,Smith and Sons,Manager,victoria.evans@fitzgerald.biz,+1-586-223-8127x7584,1413 Serrano Ports,Garzaview,MN,94634,USA,Energy,Purchased List,Closed - Converted,Warm,96,25045.65,0050013,True,2025-07-19,00100010588,00300011927,00600010634,2025-05-04 17:21:13,2025-08-26 17:21:13,False
00Q00010035,Kevin,Carter,Simpson and Sons,Analyst,kevin.carter@haynes.biz,347.442.7685x5146,6580 Payne Creek Suite 135,Port Emily,MP,40882,USA,Healthcare,Purchased List,Closed - Converted,Warm,151,32865534.45,0050006,True,2025-10-22,00100010360,00300012740,00600011639,2025-09-29 17:21:13,2025-10-07 17:21:13,False
00Q00010036,Edgar,Bell,Cook Ltd,Analyst,edgar.bell@meadows.com,+1-308-677-0069,5179 Ashley Place,Wallaceberg,OK,08811,USA,Manufacturing,Purchased List,Open - Not Contacted,Hot,23,60168.37,0050003,False,,,,,2025-02-25 17:21:13,2025-08-17 17:21:13,False
00Q00010037,Amy,Cisneros,"Finley, Green and Wilkinson",Manager,amy.cisneros@gray-hernandez.info,(586)640-9322,8132 Jonathan Corners,New Feliciahaven,TX,29296,USA,Technology,Web,Closed - Not Converted,Cold,17,8786767.57,0050013,False,,,,,2025-09-29 17:21:13,2025-10-27 17:21:13,False
00Q00010038,Douglas,Peterson,Fields LLC,Manager,douglas.peterson@roman-rose.com,587.264.7494x65959,9858 Cochran Walks,New Darin,CT,69907,USA,Retail,Web,Closed - Converted,Hot,135,770880.22,0050019,True,2025-04-24,00100010019,00300012262,00600011333,2025-04-11 17:21:13,2025-05-04 17:21:13,False
00Q00010039,Kelly,Melendez,"Soto, Gonzalez and Patterson",Manager,kelly.melendez@hardin-johnson.com,(934)513-0167x250,83651 Chandler Drive,Port Megan,NC,65914,USA,Telecommunications,Webinar,Working - Contacted,Warm,437,292313.9,0050014,False,,,,,2025-03-20 17:21:13,2025-06-29 17:21:13,False
00Q00010040,Brandon,Castillo,Lewis Group,VP,brandon.castillo@moore.org,001-747-528-6501x8850,5255 Richard Streets Apt. 809,South Michael,CO,34463,USA,Technology,Purchased List,Working - Contacted,Cold,53,2112708.0,0050009,False,,,,,2025-07-25 17:21:13,2025-12-25 17:21:13,False
00Q00010041,Colin,Smith,"Moreno, Little and Henry",Director,colin.smith@adams-perkins.info,533-489-2656x231,50412 Matthew Lodge,Juliaside,MH,21226,USA,Financial Services,Purchased List,Closed - Not Converted,Cold,16,296043.33,0050016,False,,,,,2024-12-25 17:21:13,2025-06-05 17:21:13,False
00Q00010042,Heather,Reeves,"Moody, Moyer and Parker",Manager,heather.reeves@watson.com,001-622-266-9198x626,928 Robert Island Apt. 934,South Tracie,NY,41364,USA,Manufacturing,Employee Referral,Closed - Converted,Warm,2800,7877104.65,0050004,True,2025-01-08,00100010797,00300010268,00600011259,2024-11-05 17:21:13,2025-04-12 17:21:13,False
00Q00010043,Richard,Simpson,Shields-Thomas,Manager,richard.simpson@serrano.info,740-612-1610x6065,694 Jennifer Club,East Jonathantown,MD,78893,USA,Energy,Partner Referral,Closed - Not Converted,Cold,8,229642.84,0050005,False,,,,,2025-04-25 17:21:13,2025-07-14 17:21:13,False
00Q00010044,Tracy,Schmidt,Jackson Ltd,Director,tracy.schmidt@lopez-waters.com,(227)261-0650x872,934 Vaughn Stravenue,New Theresa,OK,81644,USA,Manufacturing,Partner Referral,Working - Contacted,Warm,3,4604347.09,0050012,False,,,,,2025-05-07 17:21:13,2025-06-27 17:21:13,False
00Q00010045,Edward,Gonzalez,Gonzalez-Clay,Director,edward.gonzalez@meyer.com,8326256483,1640 Rios Crossroad,Kimberlyville,AL,46821,USA,Manufacturing,Social Media,Working - Contacted,Warm,7,74312.42,0050006,False,,,,,2024-11-15 17:21:13,2025-04-01 17:21:13,False
00Q00010046,Matthew,Garcia,"Webb, Lucas and Sanford",Manager,matthew.garcia@henry-thomas.com,456-356-1822,3367 Jennifer Field,East Gregoryburgh,ME,50612,USA,Telecommunications,Social Media,Working - Contacted,Cold,0,28040843.89,0050001,False,,,,,2025-09-14 17:21:13,2026-01-12 17:21:13,False
00Q00010047,Kathryn,Wells,"Wilson, Garcia and Brown",VP,kathryn.wells@humphrey.com,907.995.3687x028,767 Ayala Station Suite 675,Lake Catherine,FM,17562,USA,Healthcare,Web,Working - Contacted,Cold,32,12693528.95,0050001,False,,,,,2025-01-07 17:21:13,2025-02-10 17:21:13,False
00Q00010048,Tracy,Morgan,Cruz Ltd,Director,tracy.morgan@gonzalez-white.com,+1-245-571-1637,8324 Jamie Manors Suite 908,North Chad,NV,20037,USA,Energy,Phone Inquiry,Open - Not Contacted,Cold,1,5016631.24,0050019,False,,,,,2025-09-07 17:21:13,2026-03-05 17:21:13,False
00Q00010049,Brittany,Duncan,Liu Group,Senior Manager,brittany.duncan@west.com,+1-304-930-6638,170 Erin Course Suite 518,South Amberfort,TX,80808,USA,Telecommunications,Partner Referral,Working - Contacted,Cold,309,323440.66,0050013,False,,,,,2025-02-27 17:21:13,2025-03-24 17:21:13,False
00Q00010050,Noah,Miller,"Perez, Sawyer and Kelly",Manager,noah.miller@jackson-hanson.net,001-623-471-0603,391 Todd Dale Apt. 998,Lake Dianeland,KS,70128,USA,Manufacturing,Trade Show,Open - Not Contacted,Cold,526,74094020.86,0050008,False,,,,,2025-03-05 17:21:13,2025-05-24 17:21:13,False
00Q00010051,Amanda,Cowan,"Parker, Parks and Henderson",Manager,amanda.cowan@miller-morton.com,001-405-568-7609x474,5463 Smith Spur,Laneberg,WI,85395,USA,Technology,Web,Closed - Converted,Warm,191,1360267.2,0050015,True,2025-02-05,00100010033,00300011025,00600010361,2024-11-08 17:21:13,2025-03-08 17:21:13,False
00Q00010052,Michael,Kelly,Collins and Sons,Senior Manager,michael.kelly@hull.com,(959)400-7109,73628 Matthew Springs Apt. 438,North Kellytown,NJ,45781,USA,Telecommunications,Purchased List,Closed - Converted,Warm,316,399112.73,0050014,True,2025-04-03,00100010130,00300011585,00600010604,2025-02-26 17:21:13,2025-04-25 17:21:13,False
00Q00010053,Crystal,Garcia,Fletcher-Butler,Manager,crystal.garcia@blevins-bautista.info,9438913246,179 Mason River Suite 454,Bushberg,VA,43784,USA,Telecommunications,Purchased List,Closed - Converted,Warm,31,1905550.12,0050002,True,2025-11-05,00100010872,00300012988,00600010167,2025-08-12 17:21:13,2025-10-18 17:21:13,False
00Q00010054,Jeffrey,Garrison,Jones-Roberson,Analyst,jeffrey.garrison@conner.net,+1-574-995-8672,41115 Xavier Harbor,South Sarahborough,MD,92248,USA,Financial Services,Trade Show,Closed - Not Converted,Warm,8,336679.12,0050015,False,,,,,2025-04-21 17:21:13,2025-07-31 17:21:13,False
00Q00010055,Anthony,Wagner,"Leach, Fisher and Hart",Analyst,anthony.wagner@cortez.com,555.557.0593,367 Johnson Plains,South Terri,WV,23690,USA,Manufacturing,Web,Working - Contacted,Warm,19,361486.42,0050003,False,,,,,2025-07-23 17:21:13,2026-01-19 17:21:13,False
00Q00010056,Christina,Torres,Powell Ltd,Manager,christina.torres@pearson.com,269-816-2730x8312,45273 Elizabeth Walk Apt. 941,Lake Douglaschester,ID,33584,USA,Manufacturing,Trade Show,Open - Not Contacted,Warm,168,132392.65,0050003,False,,,,,2024-11-18 17:21:13,2025-02-11 17:21:13,False
00Q00010057,Zachary,Park,Nguyen-Hernandez,Director,zachary.park@boyer.biz,(243)436-5333,1462 Jeremiah Forks Suite 216,Alexandramouth,SD,52241,USA,Financial Services,Phone Inquiry,Closed - Not Converted,Cold,0,1265949.4,0050018,False,,,,,2025-05-11 17:21:13,2025-09-05 17:21:13,False
00Q00010058,Jeremy,Gallagher,"Walker, Clark and Mitchell",Senior Manager,jeremy.gallagher@ortiz.com,400-957-3573x795,9515 Gloria Causeway,Lake Kristin,NC,02093,USA,Telecommunications,Trade Show,Closed - Not Converted,Cold,127,113063.12,0050002,False,,,,,2025-02-17 17:21:13,2025-02-25 17:21:13,False
00Q00010059,Shawn,Webb,Peters-Le,Manager,shawn.webb@kennedy.com,360.718.8678x265,589 Michael Prairie,New Steven,FM,99598,USA,Energy,Purchased List,Working - Contacted,Cold,11,63186.67,0050015,False,,,,,2025-09-21 17:21:13,2026-01-21 17:21:13,False
00Q00010060,Kimberly,Rodriguez,West-Melendez,Director,kimberly.rodriguez@fowler-black.com,642-977-2214x44387,162 Torres Route Apt. 299,East Amanda,OK,78293,USA,Manufacturing,Web,Working - Contacted,Warm,162,1875685.54,0050003,False,,,,,2025-08-28 17:21:13,2025-11-26 17:21:13,False
00Q00010061,Amy,Garcia,"Cooper, Thompson and Thomas",Analyst,amy.garcia@garcia-foster.com,001-241-876-8415x1700,268 Reed Pass Suite 410,Lake Jenniferfort,GA,21233,USA,Technology,Social Media,Open - Not Contacted,Hot,47,180696.59,0050006,False,,,,,2025-02-21 17:21:13,2025-06-20 17:21:13,False
00Q00010062,Linda,Mueller,Davis Group,Senior Manager,linda.mueller@peterson-mills.net,(446)958-1596x6849,562 Luke Hills,Johnsonstad,OK,90987,USA,Telecommunications,Purchased List,Open - Not Contacted,Cold,426,243312.18,0050019,False,,,,,2025-07-29 17:21:13,2025-10-10 17:21:13,False
00Q00010063,Katherine,Shaw,Beltran-Huff,Analyst,katherine.shaw@patel-smith.biz,+1-525-695-8214x30866,4279 Riley Extension,Monicaside,PW,90575,USA,Retail,Social Media,Open - Not Contacted,Warm,92,85407.66,0050013,False,,,,,2025-04-29 17:21:13,2025-10-01 17:21:13,False
00Q00010064,Robert,White,Peters-Sawyer,VP,robert.white@davis.net,001-314-574-5737x44275,10100 Gibbs Mall,North Tammy,CA,15723,USA,Retail,Partner Referral,Working - Contacted,Cold,14,7740244.02,0050005,False,,,,,2025-01-03 17:21:13,2025-02-05 17:21:13,False
00Q00010065,James,Riggs,Ellis-Terrell,Analyst,james.riggs@jones.com,+1-420-842-8703x96633,05256 David Street Suite 515,Port Denise,NM,19023,USA,Retail,Purchased List,Closed - Converted,Warm,346,27516.82,0050008,True,2025-02-26,00100010153,00300012284,00600010892,2025-02-06 17:21:13,2025-05-21 17:21:13,False
00Q00010066,William,Fisher,Bell Ltd,Manager,william.fisher@cruz.biz,228-855-0294,898 Kimberly Track,Port Valerieberg,MN,93837,USA,Financial Services,Purchased List,Working - Contacted,Cold,15,805753.65,0050012,False,,,,,2025-08-31 17:21:13,2025-11-23 17:21:13,False
00Q00010067,Pamela,Rodriguez,"Freeman, Ortiz and Malone",Manager,pamela.rodriguez@gibson.com,001-652-952-5608,1176 Latoya Meadows,Garcialand,MN,09173,USA,Technology,Employee Referral,Closed - Converted,Cold,0,1510264.18,0050005,True,2025-04-13,00100010720,00300011404,00600011648,2025-01-13 17:21:13,2025-02-01 17:21:13,False
00Q00010068,Matthew,Sexton,Thomas-Baker,Manager,matthew.sexton@white.net,(853)200-1983x637,8945 Hines Lodge,New Caseymouth,VT,81242,USA,Telecommunications,Phone Inquiry,Open - Not Contacted,Warm,2,1877462.48,0050011,False,,,,,2025-05-23 17:21:13,2025-10-07 17:21:13,False
00Q00010069,Kathleen,Lynch,Cordova and Sons,Analyst,kathleen.lynch@moore.info,759-655-4717,19788 Christopher Prairie Apt. 904,East Victor,MH,50568,USA,Healthcare,Phone Inquiry,Open - Not Contacted,Warm,120,9458929.84,0050010,False,,,,,2025-03-02 17:21:13,2025-06-13 17:21:13,False
00Q00010070,Samantha,Wilcox,Weaver-Lopez,Director,samantha.wilcox@thompson.info,+1-833-967-6117x961,7157 Tanya Path Suite 182,North Scotthaven,IN,64132,USA,Financial Services,Purchased List,Open - Not Contacted,Warm,6,5771384.78,0050010,False,,,,,2024-12-26 17:21:13,2025-04-11 17:21:13,False
00Q00010071,Matthew,Burns,Edwards-Esparza,Director,matthew.burns@barron.com,(727)393-4674,36362 Jason River Suite 931,South Timothyborough,GU,41771,USA,Technology,Purchased List,Closed - Converted,Warm,156,43044.66,0050010,True,2025-09-18,00100010395,00300011937,00600011686,2025-06-24 17:21:13,2025-08-26 17:21:13,False
00Q00010072,Tina,Reed,Hall-Hudson,Analyst,tina.reed@castillo-spence.com,903-833-6702x613,35233 Carolyn Park,Port Brittany,AL,15853,USA,Manufacturing,Phone Inquiry,Closed - Not Converted,Cold,450,7945245.81,0050007,False,,,,,2025-01-17 17:21:13,2025-02-27 17:21:13,False
00Q00010073,Sarah,Wright,"Young, Callahan and Palmer",Manager,sarah.wright@kelley-allen.com,(310)718-0196x2260,86766 Irwin Ports Suite 134,Lauraside,PR,18527,USA,Energy,Partner Referral,Working - Contacted,Warm,445,814930.58,0050012,False,,,,,2025-02-20 17:21:13,2025-05-30 17:21:13,False
00Q00010074,Stephen,Gates,Anderson Group,Director,stephen.gates@fisher-graves.com,(868)386-2194,65082 Fletcher Extension,Bishopmouth,MH,62421,USA,Telecommunications,Purchased List,Closed - Converted,Hot,4,580294.02,0050002,True,2025-11-10,00100010184,00300010030,00600010613,2025-09-21 17:21:13,2025-11-14 17:21:13,False
00Q00010075,Justin,Barnes,"Wagner, Glover and Willis",VP,justin.barnes@potter-wright.com,(863)948-3795x233,4503 Michele Overpass,South Stephanieberg,MT,49945,USA,Financial Services,Trade Show,Closed - Not Converted,Warm,50,2044871.2,0050018,False,,,,,2024-11-03 17:21:13,2025-04-04 17:21:13,False
00Q00010076,Theresa,Davis,Olsen-White,Manager,theresa.davis@peterson.com,(599)380-3752x303,26431 Guzman Land,Lake Kathleen,MH,19320,USA,Telecommunications,Employee Referral,Working - Contacted,Warm,6,2186161.02,0050006,False,,,,,2025-03-18 17:21:13,2025-07-08 17:21:13,False
00Q00010077,Hector,Tate,"Jones, Rojas and Wilson",Analyst,hector.tate@frank.com,(652)307-4346,842 Sanders Forge Suite 997,New Angela,PR,47048,USA,Technology,Phone Inquiry,Closed - Converted,Warm,183,3857304.78,0050008,True,2025-02-26,00100010303,00300012444,00600010791,2025-01-07 17:21:13,2025-05-27 17:21:13,False
00Q00010078,Gary,Key,Gilbert Group,Manager,gary.key@foster-gray.com,+1-590-924-7232,9399 Phillip Dale Apt. 325,Charlesmouth,AL,75170,USA,Energy,Phone Inquiry,Working - Contacted,Warm,70,164535.48,0050014,False,,,,,2024-11-03 17:21:13,2025-01-03 17:21:13,False
00Q00010079,Tracey,Martinez,"Santiago, Jones and Price",Analyst,tracey.martinez@morrison-lee.info,+1-608-350-7900,2219 Huang Fields Apt. 021,East Michaelhaven,MD,68420,USA,Technology,Social Media,Working - Contacted,Cold,13,714103.6,0050006,False,,,,,2025-07-28 17:21:13,2026-01-14 17:21:13,False
00Q00010080,Evan,Khan,Alvarez Inc,Analyst,evan.khan@burnett.info,542.472.1798x25075,815 Cynthia Fords,Brandonborough,VA,31053,USA,Telecommunications,Webinar,Working - Contacted,Cold,258,1396349.22,0050011,False,,,,,2024-11-16 17:21:13,2024-12-06 17:21:13,False
00Q00010081,Melissa,Ford,"Gutierrez, Clark and Pineda",Analyst,melissa.ford@moore-williams.com,001-439-505-0458x0470,9975 Lawrence Track,East Charlesburgh,FM,66099,USA,Retail,Purchased List,Open - Not Contacted,Warm,146,125224.42,0050019,False,,,,,2024-10-25 17:21:13,2025-03-21 17:21:13,False
00Q00010082,Richard,Barnett,"Petersen, Norton and Williams",Manager,richard.barnett@ward.com,7318507801,4131 Gordon Camp,East William,DE,96825,USA,Retail,Phone Inquiry,Open - Not Contacted,Warm,5,15324549.79,0050004,False,,,,,2025-02-17 17:21:13,2025-03-19 17:21:13,False
00Q00010083,Justin,Lindsey,Tucker PLC,VP,justin.lindsey@johnson.biz,+1-242-651-6831,6423 Kyle Ways Suite 454,Lake Lindsayland,IL,44889,USA,Financial Services,Web,Working - Contacted,Cold,40,14871769.59,0050013,False,,,,,2024-12-25 17:21:13,2025-05-27 17:21:13,False
00Q00010084,Krista,Wood,Lopez-Ramos,Director,krista.wood@rodriguez-wyatt.com,948.393.5998x51017,6726 Noble Mountains,South Gregory,VT,96791,USA,Technology,Web,Working - Contacted,Warm,193,2855823.43,0050009,False,,,,,2025-03-01 17:21:13,2025-05-24 17:21:13,False
00Q00010085,Damon,Mclaughlin,"Washington, Wright and Jensen",Analyst,damon.mclaughlin@smith.org,964.666.9601,666 Eric Grove,Martinezmouth,PA,15344,USA,Manufacturing,Partner Referral,Working - Contacted,Warm,1,3144059.15,0050017,False,,,,,2025-01-13 17:21:13,2025-02-07 17:21:13,False
