CRM_ContactId,CRM_FirstName,CRM_LastName,CRM_Email,CRM_Title,CRM_AccountId,SAP_KUNNR,SAP_VKORG,SAP_VTWEG,SAP_SPART,SAP_PARVW,SAP_KUNN2,PartnerFunction,CreatedDate
300010028,James,Young,james.young@jones.com,Director IT,100010009,100005,3000,20,2,AG,100005,Sold-to Party,2025-10-25 17:36:40
300010029,Michelle,Knapp,michelle.knapp@jones.com,Senior Buyer,100010009,100005,3000,20,2,AG,100005,Sold-to Party,2025-10-25 17:36:40
300010030,Gina,Griffith,gina.griffith@hoover-savage.com,Director IT,100010010,100006,2000,30,0,AG,100006,Sold-to Party,2025-10-25 17:36:40
300010031,Sarah,Richardson,sarah.richardson@hoover-savage.com,Manager Procurement,100010010,100006,2000,30,0,AG,100006,Sold-to Party,2025-10-25 17:36:40
300010032,Kathleen,Spence,kathleen.spence@hoover-savage.com,CEO,100010010,100006,2000,30,0,AG,100006,Sold-to Party,2025-10-25 17:36:40
300010048,Justin,Jackson,justin.jackson@combs.com,CFO,100010016,100007,2000,20,0,AG,100007,Sold-to Party,2025-10-25 17:36:40
300010049,Sheila,Greene,sheila.greene@combs.com,CTO,100010016,100007,2000,20,0,AG,100007,Sold-to Party,2025-10-25 17:36:40
300010050,Jeff,Howard,jeff.howard@combs.com,VP Operations,100010016,100007,2000,20,0,AG,100007,Sold-to Party,2025-10-25 17:36:40
300010051,Scott,Williams,scott.williams@burke.com,Senior Buyer,100010017,100008,1000,20,1,AG,100008,Sold-to Party,2025-10-25 17:36:40
300010052,Marissa,Hale,marissa.hale@burke.com,Director IT,100010017,100008,1000,20,1,AG,100008,Sold-to Party,2025-10-25 17:36:40
300010053,Jeffrey,Sandoval,jeffrey.sandoval@burke.com,Director IT,100010017,100008,1000,20,1,AG,100008,Sold-to Party,2025-10-25 17:36:40
300010054,Lori,Swanson,lori.swanson@burke.com,Manager Procurement,100010017,100008,1000,20,1,AG,100008,Sold-to Party,2025-10-25 17:36:40
300010058,Patricia,Robinson,patricia.robinson@pierce.com,VP Marketing,100010019,100009,1000,10,0,AG,100009,Sold-to Party,2025-10-25 17:36:40
300010059,John,Butler,john.butler@pierce.com,Senior Buyer,100010019,100009,1000,10,0,AG,100009,Sold-to Party,2025-10-25 17:36:40
300010060,Amanda,May,amanda.may@mitchell.com,Senior Buyer,100010020,100010,2000,10,1,AG,100010,Sold-to Party,2025-10-25 17:36:40
300010061,Linda,Phillips,linda.phillips@mitchell.com,VP Marketing,100010020,100010,2000,10,1,AG,100010,Sold-to Party,2025-10-25 17:36:40
300010062,Tracy,Norton,tracy.norton@mitchell.com,VP Sales,100010020,100010,2000,10,1,AG,100010,Sold-to Party,2025-10-25 17:36:40
300010063,Christina,Day,christina.day@garrett.com,VP Operations,100010021,100011,1000,10,1,AG,100011,Sold-to Party,2025-10-25 17:36:40
300010064,Jessica,Williams,jessica.williams@garrett.com,Director Finance,100010021,100011,1000,10,1,AG,100011,Sold-to Party,2025-10-25 17:36:40
300010065,Anthony,Jenkins,anthony.jenkins@garrett.com,CTO,100010021,100011,1000,10,1,AG,100011,Sold-to Party,2025-10-25 17:36:40
300010066,Holly,Gordon,holly.gordon@garrett.com,CFO,100010021,100011,1000,10,1,AG,100011,Sold-to Party,2025-10-25 17:36:40
300010067,Andrea,Ortiz,andrea.ortiz@garrett.com,VP Operations,100010021,100011,1000,10,1,AG,100011,Sold-to Party,2025-10-25 17:36:40
300010069,Danielle,Brown,danielle.brown@graham.info,Senior Buyer,100010023,100012,1000,10,0,AG,100012,Sold-to Party,2025-10-25 17:36:40
300010074,James,Peters,james.peters@shaw.com,CFO,100010026,100013,2000,10,2,AG,100013,Sold-to Party,2025-10-25 17:36:40
300010075,Jonathon,Tyler,jonathon.tyler@shaw.com,CEO,100010026,100013,2000,10,2,AG,100013,Sold-to Party,2025-10-25 17:36:40
300010076,Ashley,Russo,ashley.russo@shaw.com,VP Operations,100010026,100013,2000,10,2,AG,100013,Sold-to Party,2025-10-25 17:36:40
300010077,Andrew,Moore,andrew.moore@francis.com,CFO,100010027,100014,1000,20,0,AG,100014,Sold-to Party,2025-10-25 17:36:40
300010078,Gina,Ayala,gina.ayala@francis.com,CEO,100010027,100014,1000,20,0,AG,100014,Sold-to Party,2025-10-25 17:36:40
300010079,Ashley,Swanson,ashley.swanson@francis.com,VP Marketing,100010027,100014,1000,20,0,AG,100014,Sold-to Party,2025-10-25 17:36:40
300010092,Anthony,Winters,anthony.winters@huerta.com,Director IT,100010032,100015,1000,20,0,AG,100015,Sold-to Party,2025-10-25 17:36:40
300010093,Monica,Johnson,monica.johnson@huerta.com,VP Marketing,100010032,100015,1000,20,0,AG,100015,Sold-to Party,2025-10-25 17:36:40
300010094,Martha,Kim,martha.kim@huerta.com,CFO,100010032,100015,1000,20,0,AG,100015,Sold-to Party,2025-10-25 17:36:40
300010095,Cynthia,Taylor,cynthia.taylor@huerta.com,CFO,100010032,100015,1000,20,0,AG,100015,Sold-to Party,2025-10-25 17:36:40
300010096,Michael,Carey,michael.carey@simmons-rodriguez.info,Director IT,100010033,100016,1000,30,0,AG,100016,Sold-to Party,2025-10-25 17:36:40
300010097,Teresa,Williams,teresa.williams@simmons-rodriguez.info,CFO,100010033,100016,1000,30,0,AG,100016,Sold-to Party,2025-10-25 17:36:40
300010104,Ricky,Chen,ricky.chen@moore-collins.com,Director IT,100010036,100017,1000,10,1,AG,100017,Sold-to Party,2025-10-25 17:36:40
300010105,Lawrence,Wyatt,lawrence.wyatt@moore-collins.com,VP Sales,100010036,100017,1000,10,1,AG,100017,Sold-to Party,2025-10-25 17:36:40
300010106,Joseph,Smith,joseph.smith@moore-collins.com,CEO,100010036,100017,1000,10,1,AG,100017,Sold-to Party,2025-10-25 17:36:40
300010107,David,Kelly,david.kelly@duran.com,Director IT,100010037,100018,1000,30,0,AG,100018,Sold-to Party,2025-10-25 17:36:40
300010108,Michael,Peck,michael.peck@duran.com,CEO,100010037,100018,1000,30,0,AG,100018,Sold-to Party,2025-10-25 17:36:40
300010109,Haley,Rodriguez,haley.rodriguez@graham.net,CFO,100010038,100019,1000,20,0,AG,100019,Sold-to Party,2025-10-25 17:36:40
300010110,Philip,Roberts,philip.roberts@graham.net,CEO,100010038,100019,1000,20,0,AG,100019,Sold-to Party,2025-10-25 17:36:40
300010111,Elizabeth,Rodriguez,elizabeth.rodriguez@graham.net,VP Marketing,100010038,100019,1000,20,0,AG,100019,Sold-to Party,2025-10-25 17:36:40
300010113,Kristin,Cameron,kristin.cameron@shepherd.com,CEO,100010040,100020,1000,20,2,AG,100020,Sold-to Party,2025-10-25 17:36:40
300010114,Tara,Anderson,tara.anderson@shepherd.com,VP Sales,100010040,100020,1000,20,2,AG,100020,Sold-to Party,2025-10-25 17:36:40
300010115,Amy,Walker,amy.walker@ponce-hale.biz,VP Operations,100010041,100021,1000,30,2,AG,100021,Sold-to Party,2025-10-25 17:36:40
300010116,Steven,Reynolds,steven.reynolds@ponce-hale.biz,CFO,100010041,100021,1000,30,2,AG,100021,Sold-to Party,2025-10-25 17:36:40
300010119,Wayne,Dunn,wayne.dunn@hines.info,Manager Procurement,100010043,100022,2000,10,0,AG,100022,Sold-to Party,2025-10-25 17:36:40
300010120,Amy,Martinez,amy.martinez@hines.info,CEO,100010043,100022,2000,10,0,AG,100022,Sold-to Party,2025-10-25 17:36:40
300010121,Henry,Smith,henry.smith@conley.org,Director Finance,100010044,100023,3000,20,0,AG,100023,Sold-to Party,2025-10-25 17:36:40
300010122,Andrea,Herman,andrea.herman@conley.org,Director Finance,100010044,100023,3000,20,0,AG,100023,Sold-to Party,2025-10-25 17:36:40
300010123,Lori,Thompson,lori.thompson@conley.org,Manager Procurement,100010044,100023,3000,20,0,AG,100023,Sold-to Party,2025-10-25 17:36:40
300010124,Brian,Hanson,brian.hanson@williams-hughes.com,VP Operations,100010045,100024,2000,30,0,AG,100024,Sold-to Party,2025-10-25 17:36:40
300010125,Dylan,Melton,dylan.melton@williams-hughes.com,CFO,100010045,100024,2000,30,0,AG,100024,Sold-to Party,2025-10-25 17:36:40
300010126,Jillian,Benton,jillian.benton@williams-hughes.com,CEO,100010045,100024,2000,30,0,AG,100024,Sold-to Party,2025-10-25 17:36:40
300010127,Justin,Nunez,justin.nunez@williams-hughes.com,CEO,100010045,100024,2000,30,0,AG,100024,Sold-to Party,2025-10-25 17:36:40
300010128,Shannon,Vasquez,shannon.vasquez@sanders.com,Manager Procurement,100010046,100025,1000,10,0,AG,100025,Sold-to Party,2025-10-25 17:36:40
300010129,David,Norris,david.norris@sanders.com,Director Finance,100010046,100025,1000,10,0,AG,100025,Sold-to Party,2025-10-25 17:36:40
300010136,Michael,Moran,michael.moran@conner.info,VP Marketing,100010049,100026,1000,30,0,AG,100026,Sold-to Party,2025-10-25 17:36:40
300010137,Nicholas,Wagner,nicholas.wagner@conner.info,VP Operations,100010049,100026,1000,30,0,AG,100026,Sold-to Party,2025-10-25 17:36:40
300010138,Denise,Howell,denise.howell@conner.info,Manager Procurement,100010049,100026,1000,30,0,AG,100026,Sold-to Party,2025-10-25 17:36:40
300010141,Bradley,Browning,bradley.browning@sanchez-aguirre.biz,VP Operations,100010051,100027,1000,20,1,AG,100027,Sold-to Party,2025-10-25 17:36:40
300010142,Christine,Olsen,christine.olsen@sanchez-aguirre.biz,CEO,100010051,100027,1000,20,1,AG,100027,Sold-to Party,2025-10-25 17:36:40
300010143,Stephen,Morris,stephen.morris@sanchez-aguirre.biz,VP Sales,100010051,100027,1000,20,1,AG,100027,Sold-to Party,2025-10-25 17:36:40
300010145,Christopher,Carter,christopher.carter@khan.com,CEO,100010053,100028,2000,20,0,AG,100028,Sold-to Party,2025-10-25 17:36:40
300010146,Mackenzie,Sharp,mackenzie.sharp@khan.com,Manager Procurement,100010053,100028,2000,20,0,AG,100028,Sold-to Party,2025-10-25 17:36:40
300010147,Natalie,Clark,natalie.clark@khan.com,Director IT,100010053,100028,2000,20,0,AG,100028,Sold-to Party,2025-10-25 17:36:40
300010148,Justin,Perry,justin.perry@khan.com,Senior Buyer,100010053,100028,2000,20,0,AG,100028,Sold-to Party,2025-10-25 17:36:40
300010149,Andrew,Gibbs,andrew.gibbs@reeves.net,CTO,100010054,100029,2000,20,0,AG,100029,Sold-to Party,2025-10-25 17:36:40
300010150,Timothy,Brock,timothy.brock@reeves.net,CTO,100010054,100029,2000,20,0,AG,100029,Sold-to Party,2025-10-25 17:36:40
300010151,Anthony,Allen,anthony.allen@reeves.net,VP Sales,100010054,100029,2000,20,0,AG,100029,Sold-to Party,2025-10-25 17:36:40
300010152,Patrick,Harris,patrick.harris@castillo.biz,Manager Procurement,100010055,100030,1000,10,0,AG,100030,Sold-to Party,2025-10-25 17:36:40
300010153,Paul,Campbell,paul.campbell@castillo.biz,Director IT,100010055,100030,1000,10,0,AG,100030,Sold-to Party,2025-10-25 17:36:40
300010157,Elizabeth,Murray,elizabeth.murray@gilbert.com,VP Marketing,100010057,100031,2000,10,0,AG,100031,Sold-to Party,2025-10-25 17:36:40
300010161,Sarah,Brown,sarah.brown@chase.net,VP Operations,100010059,100032,1000,10,1,AG,100032,Sold-to Party,2025-10-25 17:36:40
300010162,Teresa,Mullins,teresa.mullins@chase.net,CEO,100010059,100032,1000,10,1,AG,100032,Sold-to Party,2025-10-25 17:36:40
300010165,Dana,Coleman,dana.coleman@bond-ramos.com,Director Finance,100010061,100033,1000,30,0,AG,100033,Sold-to Party,2025-10-25 17:36:40
300010166,Tracy,Robinson,tracy.robinson@bond-ramos.com,CFO,100010061,100033,1000,30,0,AG,100033,Sold-to Party,2025-10-25 17:36:40
300010167,Justin,Dickerson,justin.dickerson@bond-ramos.com,CEO,100010061,100033,1000,30,0,AG,100033,Sold-to Party,2025-10-25 17:36:40
300010168,Scott,Combs,scott.combs@mack.biz,VP Marketing,100010062,100034,1000,30,0,AG,100034,Sold-to Party,2025-10-25 17:36:40
300010169,Martha,Hatfield,martha.hatfield@mack.biz,VP Operations,100010062,100034,1000,30,0,AG,100034,Sold-to Party,2025-10-25 17:36:40
300010170,Eric,Stevens,eric.stevens@mack.biz,CTO,100010062,100034,1000,30,0,AG,100034,Sold-to Party,2025-10-25 17:36:40
300010171,Melissa,Patterson,melissa.patterson@mack.biz,Senior Buyer,100010062,100034,1000,30,0,AG,100034,Sold-to Party,2025-10-25 17:36:40
300010172,Brianna,Burns,brianna.burns@miranda.com,Senior Buyer,100010063,100035,2000,10,2,AG,100035,Sold-to Party,2025-10-25 17:36:40
300010173,Brian,Martin,brian.martin@miranda.com,CTO,100010063,100035,2000,10,2,AG,100035,Sold-to Party,2025-10-25 17:36:40
300010174,Kayla,Smith,kayla.smith@miranda.com,Senior Buyer,100010063,100035,2000,10,2,AG,100035,Sold-to Party,2025-10-25 17:36:40
300010175,Jason,Andrews,jason.andrews@simpson.biz,Director Finance,100010064,100036,1000,20,0,AG,100036,Sold-to Party,2025-10-25 17:36:40
300010176,Dorothy,Campbell,dorothy.campbell@simpson.biz,Manager Procurement,100010064,100036,1000,20,0,AG,100036,Sold-to Party,2025-10-25 17:36:40
300010177,Paula,Monroe,paula.monroe@ramsey.com,CEO,100010065,100037,1000,20,0,AG,100037,Sold-to Party,2025-10-25 17:36:40
300010178,Henry,Goodwin,henry.goodwin@ramsey.com,VP Marketing,100010065,100037,1000,20,0,AG,100037,Sold-to Party,2025-10-25 17:36:40
300010179,Maria,Sullivan,maria.sullivan@ramsey.com,Director Finance,100010065,100037,1000,20,0,AG,100037,Sold-to Party,2025-10-25 17:36:40
300010180,Alyssa,Rodriguez,alyssa.rodriguez@ramsey.com,Manager Procurement,100010065,100037,1000,20,0,AG,100037,Sold-to Party,2025-10-25 17:36:40
300010185,Jennifer,Bean,jennifer.bean@harvey.com,CEO,100010068,100038,2000,30,1,AG,100038,Sold-to Party,2025-10-25 17:36:40
300010186,Jose,Smith,jose.smith@harvey.com,VP Operations,100010068,100038,2000,30,1,AG,100038,Sold-to Party,2025-10-25 17:36:40
300010187,Scott,Simmons,scott.simmons@harvey.com,CEO,100010068,100038,2000,30,1,AG,100038,Sold-to Party,2025-10-25 17:36:40
300010195,Valerie,Taylor,valerie.taylor@davis.biz,Senior Buyer,100010071,100039,1000,20,0,AG,100039,Sold-to Party,2025-10-25 17:36:40
300010196,Jonathan,Carlson,jonathan.carlson@davis.biz,CTO,100010071,100039,1000,20,0,AG,100039,Sold-to Party,2025-10-25 17:36:40
300010197,Karen,Nelson,karen.nelson@davis.biz,Manager Procurement,100010071,100039,1000,20,0,AG,100039,Sold-to Party,2025-10-25 17:36:40
300010201,Paul,Adams,paul.adams@murray.com,CEO,100010073,100040,1000,30,1,AG,100040,Sold-to Party,2025-10-25 17:36:40
300010202,Janet,Johnson,janet.johnson@murray.com,VP Operations,100010073,100040,1000,30,1,AG,100040,Sold-to Party,2025-10-25 17:36:40
300010203,Mackenzie,Price,mackenzie.price@murray.com,Manager Procurement,100010073,100040,1000,30,1,AG,100040,Sold-to Party,2025-10-25 17:36:40
300010204,Colleen,Ramirez,colleen.ramirez@murray.com,Senior Buyer,100010073,100040,1000,30,1,AG,100040,Sold-to Party,2025-10-25 17:36:40
300010205,Kyle,Jones,kyle.jones@murray.com,VP Sales,100010073,100040,1000,30,1,AG,100040,Sold-to Party,2025-10-25 17:36:40
300010212,Randy,Riggs,randy.riggs@edwards.org,VP Sales,100010077,100041,2000,10,0,AG,100041,Sold-to Party,2025-10-25 17:36:40
300010213,Antonio,Li,antonio.li@edwards.org,CFO,100010077,100041,2000,10,0,AG,100041,Sold-to Party,2025-10-25 17:36:40
300010214,Jeffrey,Jackson,jeffrey.jackson@hampton-morrow.com,CFO,100010078,100042,3000,10,1,AG,100042,Sold-to Party,2025-10-25 17:36:40
300010215,Dennis,Rodriguez,dennis.rodriguez@hampton-morrow.com,Senior Buyer,100010078,100042,3000,10,1,AG,100042,Sold-to Party,2025-10-25 17:36:40
300010216,Sarah,Willis,sarah.willis@hampton-morrow.com,CEO,100010078,100042,3000,10,1,AG,100042,Sold-to Party,2025-10-25 17:36:40
300010217,Heather,Cox,heather.cox@hampton-morrow.com,VP Marketing,100010078,100042,3000,10,1,AG,100042,Sold-to Party,2025-10-25 17:36:40
300010218,Daniel,Hurley,daniel.hurley@bell.com,Director IT,100010079,100043,2000,20,2,AG,100043,Sold-to Party,2025-10-25 17:36:40
300010219,Christina,Nichols,christina.nichols@bell.com,CEO,100010079,100043,2000,20,2,AG,100043,Sold-to Party,2025-10-25 17:36:40
300010221,Ashley,Barnes,ashley.barnes@davis-ward.com,CEO,100010081,100044,2000,30,0,AG,100044,Sold-to Party,2025-10-25 17:36:40
300010222,Carol,Boone,carol.boone@davis-ward.com,Senior Buyer,100010081,100044,2000,30,0,AG,100044,Sold-to Party,2025-10-25 17:36:40
300010223,Sara,Hudson,sara.hudson@davis-ward.com,CFO,100010081,100044,2000,30,0,AG,100044,Sold-to Party,2025-10-25 17:36:40
300010229,Joseph,Ward,joseph.ward@fisher.info,Senior Buyer,100010084,100045,2000,10,2,AG,100045,Sold-to Party,2025-10-25 17:36:40
300010230,Brandi,Foster,brandi.foster@fisher.info,VP Operations,100010084,100045,2000,10,2,AG,100045,Sold-to Party,2025-10-25 17:36:40
300010231,Vicki,Peck,vicki.peck@fisher.info,CFO,100010084,100045,2000,10,2,AG,100045,Sold-to Party,2025-10-25 17:36:40
300010234,Annette,Sanders,annette.sanders@tanner.biz,CFO,100010086,100046,2000,10,1,AG,100046,Sold-to Party,2025-10-25 17:36:40
300010235,Melissa,Dodson,melissa.dodson@tanner.biz,VP Marketing,100010086,100046,2000,10,1,AG,100046,Sold-to Party,2025-10-25 17:36:40
300010236,Brandon,Wade,brandon.wade@tanner.biz,VP Sales,100010086,100046,2000,10,1,AG,100046,Sold-to Party,2025-10-25 17:36:40
300010237,Marissa,Nelson,marissa.nelson@tanner.biz,Manager Procurement,100010086,100046,2000,10,1,AG,100046,Sold-to Party,2025-10-25 17:36:40
300010238,Tracy,Flores,tracy.flores@morris.com,Manager Procurement,100010087,100047,2000,20,1,AG,100047,Sold-to Party,2025-10-25 17:36:40
300010239,Gregory,Hayden,gregory.hayden@morris.com,Senior Buyer,100010087,100047,2000,20,1,AG,100047,Sold-to Party,2025-10-25 17:36:40
300010240,Sean,Ford,sean.ford@morris.com,VP Operations,100010087,100047,2000,20,1,AG,100047,Sold-to Party,2025-10-25 17:36:40
300010243,Jeffrey,Richardson,jeffrey.richardson@anderson.org,Manager Procurement,100010089,100048,2000,30,0,AG,100048,Sold-to Party,2025-10-25 17:36:40
300010244,Nicholas,English,nicholas.english@anderson.org,Director IT,100010089,100048,2000,30,0,AG,100048,Sold-to Party,2025-10-25 17:36:40
300010245,Leslie,Singh,leslie.singh@ford-phelps.com,Senior Buyer,100010090,100049,1000,10,2,AG,100049,Sold-to Party,2025-10-25 17:36:40
300010246,James,Cruz,james.cruz@ford-phelps.com,VP Sales,100010090,100049,1000,10,2,AG,100049,Sold-to Party,2025-10-25 17:36:40
300010247,Kelly,Dunn,kelly.dunn@ford-phelps.com,Manager Procurement,100010090,100049,1000,10,2,AG,100049,Sold-to Party,2025-10-25 17:36:40
300010248,Joel,Cordova,joel.cordova@ford-phelps.com,Manager Procurement,100010090,100049,1000,10,2,AG,100049,Sold-to Party,2025-10-25 17:36:40
300010252,Kim,Hines,kim.hines@jenkins-pierce.com,VP Operations,100010092,100050,1000,30,0,AG,100050,Sold-to Party,2025-10-25 17:36:40
300010253,Tracey,Marshall,tracey.marshall@jenkins-pierce.com,VP Marketing,100010092,100050,1000,30,0,AG,100050,Sold-to Party,2025-10-25 17:36:40
300010254,Andre,Alexander,andre.alexander@ferguson-moody.com,Director IT,100010093,100051,2000,10,0,AG,100051,Sold-to Party,2025-10-25 17:36:40
300010255,James,Arnold,james.arnold@ferguson-moody.com,Senior Buyer,100010093,100051,2000,10,0,AG,100051,Sold-to Party,2025-10-25 17:36:40
300010256,Arthur,Chavez,arthur.chavez@love-sellers.com,CEO,100010094,100052,3000,20,0,AG,100052,Sold-to Party,2025-10-25 17:36:40
300010257,Keith,Horne,keith.horne@love-sellers.com,CFO,100010094,100052,3000,20,0,AG,100052,Sold-to Party,2025-10-25 17:36:40
300010258,Kimberly,Hines,kimberly.hines@love-sellers.com,Manager Procurement,100010094,100052,3000,20,0,AG,100052,Sold-to Party,2025-10-25 17:36:40
300010259,Timothy,Hopkins,timothy.hopkins@love-sellers.com,CFO,100010094,100052,3000,20,0,AG,100052,Sold-to Party,2025-10-25 17:36:40
300010260,Shelly,Smith,shelly.smith@fry.org,VP Operations,100010095,100053,2000,10,0,AG,100053,Sold-to Party,2025-10-25 17:36:40
300010261,Blake,Calderon,blake.calderon@fry.org,Director Finance,100010095,100053,2000,10,0,AG,100053,Sold-to Party,2025-10-25 17:36:40
300010262,Kelly,Taylor,kelly.taylor@fry.org,CFO,100010095,100053,2000,10,0,AG,100053,Sold-to Party,2025-10-25 17:36:40
300010263,Jordan,Lewis,jordan.lewis@smith.com,CTO,100010096,100054,1000,20,0,AG,100054,Sold-to Party,2025-10-25 17:36:40
300010264,Stephanie,Mason,stephanie.mason@smith.com,Director Finance,100010096,100054,1000,20,0,AG,100054,Sold-to Party,2025-10-25 17:36:40
300010267,Justin,Cooper,justin.cooper@baker.com,VP Marketing,100010098,100055,1000,10,2,AG,100055,Sold-to Party,2025-10-25 17:36:40
300010268,Jill,Edwards,jill.edwards@baker.com,VP Sales,100010098,100055,1000,10,2,AG,100055,Sold-to Party,2025-10-25 17:36:40
300010271,Eric,Wright,eric.wright@perry.org,VP Marketing,100010100,100056,1000,10,2,AG,100056,Sold-to Party,2025-10-25 17:36:40
300010272,Catherine,Lee,catherine.lee@perry.org,VP Sales,100010100,100056,1000,10,2,AG,100056,Sold-to Party,2025-10-25 17:36:40
300010273,Timothy,Carlson,timothy.carlson@perry.org,Manager Procurement,100010100,100056,1000,10,2,AG,100056,Sold-to Party,2025-10-25 17:36:40
300010274,Stephanie,Jones,stephanie.jones@perry.org,Manager Procurement,100010100,100056,1000,10,2,AG,100056,Sold-to Party,2025-10-25 17:36:40
300010275,Keith,Johnson,keith.johnson@young.com,Director IT,100010101,100057,2000,10,2,AG,100057,Sold-to Party,2025-10-25 17:36:40
300010276,Bruce,Roberts,bruce.roberts@young.com,CTO,100010101,100057,2000,10,2,AG,100057,Sold-to Party,2025-10-25 17:36:40
300010277,Tina,Lewis,tina.lewis@hood.com,Senior Buyer,100010102,100058,1000,20,0,AG,100058,Sold-to Party,2025-10-25 17:36:40
300010278,Carrie,Finley,carrie.finley@hood.com,CFO,100010102,100058,1000,20,0,AG,100058,Sold-to Party,2025-10-25 17:36:40
300010279,Jeremy,Wilson,jeremy.wilson@hood.com,VP Operations,100010102,100058,1000,20,0,AG,100058,Sold-to Party,2025-10-25 17:36:40
300010280,Michael,Adams,michael.adams@nash.com,VP Sales,100010103,100059,2000,10,2,AG,100059,Sold-to Party,2025-10-25 17:36:40
300010281,Benjamin,Baxter,benjamin.baxter@nash.com,CEO,100010103,100059,2000,10,2,AG,100059,Sold-to Party,2025-10-25 17:36:40
300010282,Richard,Davis,richard.davis@nash.com,CFO,100010103,100059,2000,10,2,AG,100059,Sold-to Party,2025-10-25 17:36:40
300010283,Daniel,Brown,daniel.brown@hunt.com,CTO,100010104,100060,1000,20,0,AG,100060,Sold-to Party,2025-10-25 17:36:40
300010284,Eric,Butler,eric.butler@hunt.com,VP Sales,100010104,100060,1000,20,0,AG,100060,Sold-to Party,2025-10-25 17:36:40
300010285,Robert,Newton,robert.newton@hunt.com,VP Marketing,100010104,100060,1000,20,0,AG,100060,Sold-to Party,2025-10-25 17:36:40
300010286,David,Crawford,david.crawford@doyle-aguilar.org,CTO,100010105,100061,1000,10,0,AG,100061,Sold-to Party,2025-10-25 17:36:40
300010287,Kelly,Shaffer,kelly.shaffer@doyle-aguilar.org,CFO,100010105,100061,1000,10,0,AG,100061,Sold-to Party,2025-10-25 17:36:40
300010288,Sarah,Powell,sarah.powell@doyle-aguilar.org,Director IT,100010105,100061,1000,10,0,AG,100061,Sold-to Party,2025-10-25 17:36:40
300010289,Theodore,James,theodore.james@doyle-aguilar.org,CEO,100010105,100061,1000,10,0,AG,100061,Sold-to Party,2025-10-25 17:36:40
300010290,Natalie,Kennedy,natalie.kennedy@doyle-aguilar.org,Director IT,100010105,100061,1000,10,0,AG,100061,Sold-to Party,2025-10-25 17:36:40
300010291,Peter,Thomas,peter.thomas@york-ruiz.org,VP Operations,100010106,100062,2000,30,1,AG,100062,Sold-to Party,2025-10-25 17:36:40
